model,ym,prisk,regime,ret,dd6,P_S0,P_S1,P_S2
2-state,2010-08,0.1403598940216339,Benign,0.07462921164467073,-8.337227923902812,0.7436300867123704,0.2563699098281307,
2-state,2010-09,0.0708837965814372,Benign,0.005414266402295365,-9.064177775192928,0.9985923008587595,0.0014076977397631703,
2-state,2010-10,0.03583690534106261,Benign,0.011513876774815301,-9.064177775192928,0.999209985899312,0.0007900129504463066,
2-state,2010-11,0.01844151200275821,Benign,0.07684956907217955,-9.064177775192928,0.9989538813355462,0.0010461175696052064,
2-state,2010-12,0.009372113344495104,Benign,0.009132121145173144,-9.390475387247498,0.999697285313768,0.00030271356440770793,
2-state,2011-01,0.008489810505795137,Benign,-0.0630178491259451,-9.390475387247498,0.9923924923329048,0.007607506619655456,
2-state,2011-02,0.49745934594599733,Benign,0.0863197535857878,-23.251203200063088,0.013571118613800424,0.9864288549383469,
2-state,2011-03,0.26176867167870577,Benign,0.040660824149329144,-25.852864569071464,0.9739220025885857,0.02607799231569371,
2-state,2011-04,0.1313736187145862,Benign,-0.022756360394378228,-25.852864569071464,0.9990214342495334,0.0009785647214858434,
2-state,2011-05,0.06965538186393944,Benign,-0.01950087042907933,-24.20813200447799,0.9920628549867073,0.007937144006861437,
2-state,2011-06,0.03500420416666225,Benign,0.015480637523060725,-24.20813200447799,0.9996469735306149,0.00035302544809601643,
2-state,2011-07,0.01761777411545977,Benign,-0.11864747503555884,-23.91924189646364,0.9997686559357427,0.0002313430343795528,
2-state,2011-08,0.01870434980303972,Benign,-0.058751861219887624,-12.122613715830276,0.9802090745093803,0.019790924241995717,
2-state,2011-09,0.04158030114685014,Benign,0.07876133866014645,-7.933741609358291,0.9355437475093394,0.06445624883858457,
2-state,2011-10,0.026426366230662558,Benign,-0.03222579979734985,-7.882660174514566,0.988727568685525,0.011272430278736992,
2-state,2011-11,0.015603113555813081,Benign,-0.011783437933314267,-13.020185847949882,0.9952201391190364,0.004779859863767714,
2-state,2011-12,0.012761695598022352,Benign,0.07123141823246693,-13.020185847949882,0.9900797223597684,0.009920276624598337,
2-state,2012-01,0.006894472387598956,Benign,0.03807155136815821,-13.661869861640385,0.9989727508228244,0.0010272481356774406,
2-state,2012-02,0.0038040405460766182,Benign,-0.007984219154045014,-13.661869861640385,0.9992863912954457,0.0007136076083022722,
2-state,2012-03,0.0022705330919294735,Benign,-0.015913312648463407,-13.661869861640385,0.9992629743622177,0.0007370245592194714,
2-state,2012-04,0.1456280727265249,Benign,-0.06988936382815414,-11.493339096104327,0.7110143876388797,0.28898560705818904,
2-state,2012-05,0.44340788124175007,Benign,0.005717499731487274,-7.3236472533480645,0.25881231024302476,0.7411876866427877,
2-state,2012-06,0.2451501358103921,Benign,0.015091601621011197,-7.3236472533480645,0.9531076096209659,0.04689238827216585,
2-state,2012-07,0.12437513327911807,Benign,0.012290184859023556,-7.3236472533480645,0.996399869252156,0.0036001296780633395,
2-state,2012-08,0.06288820408862367,Benign,0.0478132432884939,-7.3236472533480645,0.9985987251018708,0.0014012738424720931,
2-state,2012-09,0.03187775778008842,Benign,-0.04215483540831033,-6.781851986112352,0.9991326885284468,0.0008673103868493018,
2-state,2012-10,0.021006652610849455,Benign,0.010899221353768418,-6.451672422199928,0.9898644525583895,0.010135546386690616,
2-state,2012-11,0.014221344067989868,Benign,0.03318848549009101,-6.451672422199928,0.9925639644748697,0.007436034464302465,
2-state,2012-12,0.00767923654449407,Benign,-0.017580985234935786,-12.331740126719692,0.9988628709790017,0.001137127933740314,
2-state,2013-01,0.004310319366220382,Benign,0.03290113395716787,-12.132306921640767,0.9990585978120533,0.0009414010735662015,
2-state,2013-02,0.0023533328052700525,Benign,-0.010658811881641417,-12.132306921640767,0.9996036537556803,0.00039634508224432717,
2-state,2013-03,0.001483203944441233,Benign,-0.02042010443338027,-11.185651488465798,0.9993869249163876,0.0006130739026462407,
2-state,2013-04,0.0014501436026940746,Benign,0.01889055147974239,-11.021884452870378,0.9985829167390531,0.0014170820783371062,
2-state,2013-05,0.001355137470968131,Benign,-0.06882891440907302,-11.015218938396721,0.9987398686607578,0.0012601300914869729,
2-state,2013-06,0.0043268510238670815,Benign,0.02721490912433233,-4.77913215205239,0.992701435423234,0.00729856345607213,
2-state,2013-07,0.0036663137431043255,Benign,0.006441882241114527,-7.246142739958561,0.9969942235376584,0.003005775279317375,
2-state,2013-08,0.003143892421456792,Benign,0.03664941969455038,-8.3866660186533,0.9973785289001907,0.0026214699756166495,
2-state,2013-09,0.002170920056374563,Benign,0.016590219899681458,-8.3866660186533,0.9988020523087077,0.0011979464926009863,
2-state,2013-10,0.0016633231460798778,Benign,0.007280479951982111,-7.768226263366884,0.9988442737642148,0.0011557250456707513,
2-state,2013-11,0.0020274130028716873,Benign,-0.016397144746090997,-7.727631580911054,0.9976084971403365,0.002391501700815809,
2-state,2013-12,0.0026363626614089343,Benign,-0.034897104715772675,-6.189405687248028,0.9967546876800538,0.003245311173528572,
2-state,2014-01,0.00479213609360671,Benign,0.02000873983557061,-3.421768335813602,0.9930520904741955,0.006947908358548515,
2-state,2014-02,0.007911060289891622,Benign,0.0028383957216482347,-3.421768335813602,0.9889700155138235,0.011029983265619072,
2-state,2014-03,0.007738570076484645,Benign,-0.011996286513861865,-3.421768335813602,0.9924339201369223,0.007566078546640707,
2-state,2014-04,0.010053584905408666,Benign,0.01690798771251334,-8.736636425309053,0.9876314002656673,0.012368598409255565,
2-state,2014-05,0.5050267923593149,Benign,0.0036341581495165087,-8.736636425309053,1.8677882351787493e-10,0.9999999953922537,
2-state,2014-06,0.2583526645181594,Benign,0.03691428855712653,-8.888370740264406,0.9883214633229961,0.011678534979337362,
2-state,2014-07,0.21374711808496694,Benign,-0.0036510787898287322,-9.515865937522005,0.8308584283482255,0.16914157059989293,
2-state,2014-08,0.11284736753974589,Benign,-0.023422352155265003,-8.996204297547195,0.9880523830054752,0.0119476154126783,
2-state,2014-09,0.556423683769872,Benign,-0.027553184784407714,-6.813558652203144,1.9256652724458593e-15,0.9999999965369203,
2-state,2014-10,0.7778930768004453,Risk,0.008323012343988134,-5.243581772122841,0.0006375301689813727,0.9993624669245789,
2-state,2014-11,0.6042711911242362,Risk,-0.03291130893504779,-5.243581772122841,0.569350694551973,0.4306493039149383,
2-state,2014-12,0.7963800918070141,Risk,0.017576853369501766,-6.657278067984107,0.011511007510208103,0.988488984419032,
2-state,2015-01,0.4065655601818359,Risk,0.018745595189680886,-7.232871732847979,0.9832489714433422,0.016751027356675937,
2-state,2015-02,0.20866543976887944,Benign,0.027812458007211216,-15.809252161832122,0.989234680644077,0.010765318092660858,
2-state,2015-03,0.11384700237271046,Benign,0.04220412798522122,-15.809252161832122,0.9809714350234585,0.019028563513859006,
2-state,2015-04,0.06133005862666994,Benign,-0.005815178618157391,-14.737897799264788,0.9911868851193706,0.008813113150116344,
2-state,2015-05,0.04424944928833861,Benign,-0.019198078645188077,-13.475978043044623,0.9728311600499927,0.027168838481034872,
2-state,2015-06,0.0317659214081557,Benign,-0.021232242806343726,-13.169271506729208,0.9807176064720272,0.019282392294823605,
2-state,2015-07,0.11470779273055381,Benign,-0.04367638139480012,-10.339199628550688,0.8023503359470481,0.197649663017082,
2-state,2015-08,0.062207142417141564,Benign,0.010981291928680692,-10.594951610021997,0.9902935078962707,0.00970649081257247,
2-state,2015-09,0.033102415086897166,Benign,0.03396146856773963,-10.594951610021997,0.9960023122433472,0.003997686649857969,
2-state,2015-10,0.02399375300298235,Benign,-0.018477730905773315,-10.594951610021997,0.9851149090809325,0.01488508986180275,
2-state,2015-11,0.020044723873276497,Benign,-0.015391754173157857,-9.320975498543882,0.9839043052564294,0.01609569371346089,
2-state,2015-12,0.012424493318971887,Benign,-0.02511076705297277,-6.425808542849055,0.9951957372353327,0.004804261720037419,
2-state,2016-01,0.006511154277853038,Benign,0.0024057694031434096,-5.023973796205061,0.9994021847632658,0.0005978142021017982,
2-state,2016-02,0.004195804529831509,Benign,0.04131663414171549,-5.023973796205061,0.99811954521819,0.001880453751723132,
2-state,2016-03,0.007854455113687056,Benign,-0.0008517429629829598,-5.023973796205061,0.9884868943024574,0.011513104632742466,
2-state,2016-04,0.006032507742161609,Benign,-0.0053907679303911715,-5.023973796205061,0.9957894396293638,0.004210559231694225,
2-state,2016-05,0.004471980205506227,Benign,-0.006579635306791065,-5.333731359629579,0.9970885473311492,0.002911451568415116,
2-state,2016-06,0.0033410017983845994,Benign,0.023264885115996004,-5.333731359629579,0.997789976608737,0.002210022322008415,
2-state,2016-07,0.03697423472622475,Benign,0.009155924562810336,-5.333731359629579,0.9293925323459351,0.07060746661646872,
2-state,2016-08,0.5184840813373027,Benign,0.004413525845230248,-5.333731359629579,6.072051619273714e-06,0.9999939134963007,
2-state,2016-09,0.2947367492501244,Benign,-0.017341722029861617,-5.176973873892088,0.929010582837054,0.07098941577819591,
2-state,2016-10,0.6473683746250622,Risk,-0.012304593518776774,-2.5032266220640476,1.7991624330622128e-28,0.99999994559187,
2-state,2016-11,0.8236470939089364,Risk,0.021668976189309852,-2.5032266220640476,7.41868071892717e-05,0.9999258069506515,
2-state,2016-12,0.44189495632891973,Risk,0.020286661574530296,-2.5032266220640476,0.939857181251097,0.06014281746648345,
2-state,2017-01,0.714426814633842,Risk,0.011641600247119799,-2.5032266220640476,0.013041327061235744,0.9869586691982768,
2-state,2017-02,0.6359454654803317,Risk,0.03279249364769088,-5.37705297443093,0.4425358836731785,0.5574641152644603,
2-state,2017-03,0.594417989520748,Risk,0.020928309182937088,-5.37705297443093,0.4471094864388357,0.5528905123811054,
2-state,2017-04,0.6102785883744634,Risk,0.06435901460809901,-5.37705297443093,0.3738608127718213,0.6261391860027791,
2-state,2017-05,0.67423974654508,Risk,0.018919032481777176,-5.37705297443093,0.26179909528430334,0.738200903539268,
2-state,2017-06,0.8256892148561935,Risk,0.004565585480605261,-5.37705297443093,0.022861316832692942,0.9771386817664235,
2-state,2017-07,0.9128446074279855,Risk,-0.016448102423411104,-5.106779372261084,2.2272422215980327e-13,0.9999999987459542,
2-state,2017-08,0.9442892327186855,Risk,0.01323635851219862,-9.022432045446305,0.024266141990614488,0.9757338568479292,
2-state,2017-09,0.9720747494868007,Risk,0.05385741417322154,-9.022432045446305,0.0001397337450838713,0.9998602647616764,
2-state,2017-10,0.9860368087507979,Risk,-0.01864914649028071,-9.022432045446305,1.1319852049337027e-06,0.9999988666800113,
2-state,2017-11,0.9900333207264145,Risk,-0.003585944964967669,-9.022432045446305,0.005970167297968905,0.9940298314694971,
2-state,2017-12,0.9908191548269555,Risk,0.04010957332950493,-10.92876031296578,0.008395011072503554,0.9916049875955937,
2-state,2018-01,0.9212709776148684,Risk,-0.05419911303226155,-12.107655925343652,0.14827719959721877,0.8517227992985873,
2-state,2018-02,0.9584056737599839,Risk,0.0076173247545101574,-10.916038402810212,0.00445963009490072,0.9955403684276414,
2-state,2018-03,0.6601855387018574,Risk,0.028427655980584055,-10.916038402810212,0.6380345963562692,0.36196539948518125,
2-state,2018-04,0.3700043342357543,Benign,-0.03672203696866427,-20.646179033749025,0.9201768702303488,0.07982312826063484,
2-state,2018-05,0.6283414165861403,Risk,-0.03998337875727398,-19.207231269225268,0.11332150106347362,0.8866784927628726,
2-state,2018-06,0.8141707082930695,Risk,-0.013270915469926647,-15.257506834948876,1.2789226442051443e-15,0.9999999976732246,
2-state,2018-07,0.4274409915961171,Risk,0.012033439753823538,-15.357280452694022,0.9592887251008353,0.040711272758354955,
2-state,2018-08,0.21586503534312998,Benign,0.008691876707128454,-15.357280452694022,0.9957109209098571,0.004289078005417012,
2-state,2018-09,0.11018894961284038,Benign,-0.1337476549186405,-14.910784013904033,0.9954871361174492,0.004512862821076819,
2-state,2018-10,0.5548815589559444,Benign,0.03309380642103732,-6.483795664071157,0.0004258317009517149,0.9995740897249731,
2-state,2018-11,0.2804503440368893,Benign,-0.026620787987619576,-10.019876469916355,0.9939808708821658,0.006019127797092888,
2-state,2018-12,0.14087417671528324,Benign,0.0802581308836019,-10.019876469916355,0.9987019906063228,0.0012980083284646867,
2-state,2019-01,0.5356128254503709,Benign,-0.004267934704496712,-10.019876469916355,0.06964852581454137,0.9303514728174676,
2-state,2019-02,0.747024084300838,Risk,-0.02494717277311076,-15.072285771240034,0.04156465684869499,0.9584353418332318,
2-state,2019-03,0.8440986076550812,Risk,0.02939274540771497,-15.072285771240034,0.05882686899067584,0.9411731297605624,
2-state,2019-04,0.9164841578508947,Risk,-0.07344836888932471,-13.695177451700369,0.011130291953291991,0.988869706927123,
2-state,2019-05,0.9009326910265059,Risk,0.04353156003126646,-10.52373122249326,0.11461877579788284,0.8853812230297481,
2-state,2019-06,0.9351582725879422,Risk,-0.049783660401832464,-10.368350250142655,0.03061614585062156,0.9693838529556109,
2-state,2019-07,0.46757913765338965,Risk,-0.02803586396813429,-6.538316914075426,0.9999999972811628,1.2330419793591626e-11,
2-state,2019-08,0.6473497508987491,Risk,0.04840964120898228,-12.36034800901422,0.17287963585589122,0.8271203577080605,
2-state,2019-09,0.6026761703925725,Risk,0.009902780425627533,-35.70889779916474,0.44199741011360416,0.558002588803564,
2-state,2019-10,0.3353267997735067,Benign,0.002150239268313925,-35.70889779916474,0.9320225708455591,0.06797742751006657,
2-state,2019-11,0.16871678105381047,Benign,0.05254409231498869,-35.70889779916474,0.9978932376658858,0.0021067611701551512,
2-state,2019-12,0.08473025045515097,Benign,-0.035792414195787936,-35.70889779916474,0.9992562801435085,0.0007437187274916719,
2-state,2020-01,0.5423651252275755,Benign,-0.062293240424381,-35.03091217438568,1.480032250289064e-45,0.9999999225104517,
2-state,2020-02,0.7711825626137878,Risk,-0.11694455185185326,-30.09792506344231,1.3547839036337641e-174,0.9999999578859738,
2-state,2020-03,0.49875517698798866,Risk,0.10994850358748165,-7.508801311518287,0.7736722086378105,0.22632778966377626,
2-state,2020-04,0.2513562423645703,Benign,0.04212446061941999,-7.508801311518287,0.996042692258848,0.003957306674997115,
2-state,2020-05,0.1260512903353022,Benign,0.038790945746012495,-7.508801311518287,0.9992536616939659,0.0007463372734684219,
2-state,2020-06,0.06369867805410903,Benign,0.06689656450185977,-7.220151177391654,0.9986539342270842,0.0013460647274793076,
2-state,2020-07,0.03321223472702846,Benign,0.034142804734832444,-7.253996740571744,0.9972742086000521,0.0027257902737556675,
2-state,2020-08,0.019290861309822584,Benign,0.0007394002849707704,-7.253996740571744,0.9946305121073833,0.005369486672142045,
2-state,2020-09,0.012803981980722235,Benign,-0.02609229518459133,-7.817720647628201,0.9936828973483781,0.006317101198759859,
2-state,2020-10,0.009128370230686933,Benign,0.14299459652479585,-7.817720647628201,0.9945472415193484,0.005452757028081434,
2-state,2020-11,0.025119808272218668,Benign,0.1088741242922524,-7.817720647628201,0.9588887536862496,0.04111124414313597,
2-state,2020-12,0.16291607170130815,Benign,0.03575467684780964,-7.817720647628201,0.6992876648696024,0.30071233354733234,
2-state,2021-01,0.08146669653753118,Benign,0.012344555900485554,-6.484782512052478,0.9999826786262458,1.7320159669353236e-05,
2-state,2021-02,0.04074645700222864,Benign,0.01608721402234803,-7.403461627668206,0.9999737825330739,2.6216277750457614e-05,
2-state,2021-03,0.020393428905089866,Benign,0.0282353247031637,-7.41072259557074,0.9999595991920489,4.03995792232321e-05,
2-state,2021-04,0.010231692388777905,Benign,0.017808864606451147,-12.008311333757815,0.9999300441275341,6.995466742929343e-05,
2-state,2021-05,0.005180032824791648,Benign,0.02895203751264175,-14.105002607448291,0.9998716267391946,0.0001283720573289884,
2-state,2021-06,0.0026910009565029986,Benign,-0.02862269472253287,-14.105002607448291,0.9997980309117857,0.00020196788094607398,
2-state,2021-07,0.0023754819989245174,Benign,-0.0009524497124010489,-20.29917010731119,0.997940036958654,0.0020599618940511178,
2-state,2021-08,0.001722159243588681,Benign,-0.04077491126897381,-18.476031508636524,0.9989311635117472,0.0010688353959449717,
2-state,2021-09,0.0019509450743500233,Benign,-0.03197976242745859,-14.804715428229386,0.9978202690948886,0.002179729848849978,
2-state,2021-10,0.002289237713739686,Benign,-0.044323159985223404,-13.700956530435404,0.9973724696468707,0.002627529309377047,
2-state,2021-11,0.5011446188568643,Benign,0.04883388649607845,-15.826997871484672,1.1030085340456298e-14,0.9999998854112259,
2-state,2021-12,0.2545290138942209,Benign,-0.1055563362924995,-22.578311680558038,0.9920865910684226,0.007913407652590247,
2-state,2022-01,0.12738204282072718,Benign,0.013456728231198367,-17.313566132999235,0.9997649282527665,0.00023507073910074142,
2-state,2022-02,0.06392180567612116,Benign,0.021662124120634507,-16.93207993889052,0.9995384314684849,0.00046156752066494163,
2-state,2022-03,0.03292870819603272,Benign,-0.022700435418731346,-21.879891694006993,0.9980643892840557,0.0019356096931450785,
2-state,2022-04,0.020709101843840422,Benign,-0.003395167554811729,-20.0204095960431,0.9915105045083519,0.008489494454519316,
2-state,2022-05,0.012714089430954631,Benign,-0.1315238924046893,-19.74794040710648,0.9952809229819312,0.004719075969265085,
2-state,2022-06,0.00909089327956008,Benign,0.05095518935436982,-14.92113843121784,0.9945323028718345,0.005467696105195597,
2-state,2022-07,0.005637715116940969,Benign,0.00838264280160117,-14.92113843121784,0.9978154630456781,0.002184535907620234,
2-state,2022-08,0.004666650960758396,Benign,-0.12805568347769303,-12.805568347769302,0.9963044131954242,0.0036955857385054572,
2-state,2022-09,0.5023333254803792,Benign,0.06407829208823257,-10.650944354368285,1.7183913327828475e-35,0.9999999557631191,
2-state,2022-10,0.25715798471841406,Benign,0.0780079932923361,-10.650944354368285,0.9880173560435511,0.011982642747316063,
2-state,2022-11,0.12943367480471188,Benign,-0.09550141925688738,-10.531330529144933,0.9982906351089903,0.0017093638690218163,
2-state,2022-12,0.5632790457126853,Benign,0.08436781614214572,-5.436753639916714,0.0028755833793413957,0.9971243748538843,
2-state,2023-01,0.2912451080394691,Benign,-0.005043124381363007,-5.422280511656896,0.980788829633747,0.01921116894803414,
2-state,2023-02,0.14686841662116434,Benign,0.026528796723759074,-6.095455469581212,0.9975082747971404,0.002491724119815131,
2-state,2023-03,0.07457280346445527,Benign,0.009960159558901616,-7.652596010790235,0.9977228096922538,0.0022771891898066207,
2-state,2023-04,0.03854493543519327,Benign,0.030217541666638148,-14.588296075938468,0.9974829325940687,0.002517066316555423,
2-state,2023-05,0.020283257014997252,Benign,-0.0049823397074086895,-14.588296075938468,0.9979784214051988,0.0020215774691528434,
2-state,2023-06,0.010731789432375863,Benign,0.02663517558449069,-14.588296075938468,0.9988196781502455,0.0011803206874720297,
2-state,2023-07,0.00769878457966567,Benign,-0.02898679482832678,-14.588296075938468,0.9953342202730445,0.004665778610700584,
2-state,2023-08,0.005440556435791947,Benign,-0.03567696310446833,-12.42811367563088,0.9968176717080818,0.0031823271533784094,
2-state,2023-09,0.011726281741584106,Benign,-0.07589239775626777,-8.761303280623856,0.9819879929526237,0.018012005958373916,
2-state,2023-10,0.5058588585170802,Benign,0.11295047385245627,-8.761303280623856,8.564707423612356e-06,0.9999914196284548,
2-state,2023-11,0.26084351557185886,Benign,0.047327914512986125,-8.761303280623856,0.9841718273733625,0.015828171176980453,
2-state,2023-12,0.13132107097365084,Benign,-0.0595756152499437,-8.761303280623856,0.9982013736245572,0.0017986253117292569,
2-state,2024-01,0.06893173711573812,Benign,0.05817572230802637,-6.271472847747561,0.9934575967421746,0.006542402194577276,
2-state,2024-02,0.035563306546457195,Benign,0.039460849828057754,-15.556748011689637,0.9978051240228237,0.002194874861946817,
2-state,2024-03,0.01854022178788071,Benign,-0.019867920523340188,-15.556748011689637,0.9984828629706958,0.0015171358968892085,
2-state,2024-04,0.00970530782738909,Benign,-0.020631054974127316,-15.556748011689637,0.9991296061331025,0.0008703927001925087,
2-state,2024-05,0.007715811832779691,Benign,0.06117914813209069,-16.410672322905484,0.9942736841618297,0.00572631470884216,
2-state,2024-06,0.004589495317937174,Benign,-0.009696880532075847,-18.35716885207005,0.9985368211969053,0.0014631776472947794,
2-state,2024-07,0.00656558276429131,Benign,-0.03478551727212853,-15.01612366365288,0.9914583297893546,0.008541669079374946,
2-state,2024-08,0.004973297970536694,Benign,-0.030303157557248217,-11.951507716337185,0.9966189868232179,0.0033810120451996466,
2-state,2024-09,0.004980139515006254,Benign,-0.014314019330007755,-10.361688207723441,0.9950130189405242,0.0049869799359884,
2-state,2024-10,0.0074028653242364795,Benign,-0.03921522370126429,-14.142513086077047,0.9901744088665333,0.009825590032828537,
2-state,2024-11,0.4667694419618983,Benign,-0.022973123564838382,-14.142513086077047,0.07386398140043991,0.9261360062075914,
2-state,2024-12,0.2619445616572066,Benign,0.04912715928504907,-14.142513086077047,0.9428803186474851,0.057119680149617824,
2-state,2025-01,0.13398469636374521,Benign,0.006121432841425634,-14.142513086077047,0.9939751689297162,0.0060248300272807516,
2-state,2025-02,0.06954369702311747,Benign,-0.020396525364153484,-13.246896601141799,0.9948973023175103,0.005102696639691368,
2-state,2025-03,0.5347718459353532,Benign,0.030425770083210457,-9.030334502270755,5.15241092458306e-09,0.9999999607063556,
2-state,2025-04,0.2690847224354675,Benign,0.055174550880334294,-4.149986320647181,0.9966024010644182,0.003397597338471657,
