총 235건

기간시작          손절종목              대체종목              진입일               손절수익률      비중
2022-07-01    OCI홀딩스            대한유화              2022-07-12       -15.0%    2.5%
2022-07-01    한섬                LG디스플레이           2022-07-12        -9.5%    0.6%
2022-07-01    DB하이텍             에스디바이오센서          2022-07-12       -15.8%    1.6%
2022-07-01    에스디바이오센서          GS리테일             2022-07-28       -15.2%    1.6%
2022-08-01    HMM               DB하이텍             2022-08-23       -12.5%   10.2%
2022-08-01    팬오션               DL                2022-09-01       -11.7%    2.5%
2022-08-01    KG스틸              오리온홀딩스            2022-09-01       -12.4%    1.0%
2022-08-01    OCI홀딩스            대한유화              2022-09-01       -10.5%    2.4%
2022-08-01    티와이홀딩스            현대모비스             2022-08-29        -9.2%    0.8%
2022-09-01    HMM               LG유플러스            2022-09-26       -16.0%    4.3%
2022-09-01    팬오션               금호석유화학            2022-09-30       -10.0%    1.1%
2022-09-01    SK                GS리테일             2022-09-27       -10.1%    6.7%
2022-09-01    현대백화점             SK가스              2022-09-22        -5.6%    0.6%
2022-09-01    LX인터내셔널           풍산                2022-09-16        -3.3%    0.7%
2022-09-01    아이에스동서            티와이홀딩스            2022-09-07        -6.0%    0.5%
2022-09-01    티와이홀딩스            HD건설기계            2022-09-26       -16.3%    0.5%
2022-09-01    대한항공              포스코인터내셔널          2022-09-26       -13.4%    3.9%
2022-09-01    두산밥캣              한화                2022-09-28       -17.1%    1.4%
2022-09-01    롯데정밀화학            영원무역              2022-09-23       -10.2%    0.7%
2022-09-01    대우건설              효성                2022-09-28       -17.7%    0.8%
2022-09-01    POSCO홀딩스          한국앤컴퍼니            2022-09-29       -13.2%    9.0%
2022-09-01    SK이노베이션           TKG휴켐스            2022-09-26       -11.2%    6.7%
2022-09-01    S-Oil             현대모비스             2022-09-26       -17.8%    4.5%
2022-09-01    현대제철              SK텔레콤             2022-09-26        -7.8%    1.7%
2022-09-01    DB하이텍             KT                2022-09-26       -14.8%    0.8%
2022-09-01    효성티앤씨             OCI홀딩스            2022-09-21        -4.9%    0.5%
2022-09-01    동국홀딩스             LS                2022-09-26        -4.0%    0.5%
2022-09-01    KG스틸              현대위아              2022-09-26       -20.0%    0.4%
2022-09-01    KCC글라스            DL이앤씨             2022-09-26       -17.6%    0.3%
2022-09-01    롯데케미칼             코오롱인더             2022-09-27        -6.7%    2.4%
2022-10-04    SK케미칼             TKG휴켐스            2022-10-06        -2.3%    0.7%
2022-10-04    기아                해성디에스             2022-10-11        -7.4%   13.1%
2022-11-01    신세계               포스코인터내셔널          2022-11-10        -3.5%    0.9%
2022-12-01    F&F홀딩스            삼천리               2022-12-12       -13.0%    0.7%
2022-12-01    두산밥캣              동국홀딩스             2022-12-05        -4.9%    2.3%
2022-12-01    동국홀딩스             대덕전자              2022-12-29       -17.4%    2.3%
2022-12-01    LX인터내셔널           LG                2022-12-28       -14.1%    1.0%
2022-12-01    DB하이텍             한국타이어앤테크놀로지       2022-12-12        -9.4%    1.3%
2022-12-01    아이에스동서            롯데지주              2022-12-12       -13.8%    0.7%
2022-12-01    SK                SK케미칼             2022-12-29       -13.1%   10.4%
2022-12-01    KG스틸              SK하이닉스            2022-12-20       -14.3%    0.6%
2022-12-01    기아                SK이노베이션           2022-12-29       -13.6%   17.9%
2022-12-01    현대건설              CJ제일제당            2022-12-23       -15.1%    3.0%
2022-12-01    OCI홀딩스            대우건설              2022-12-29       -15.5%    1.5%
2022-12-01    두산                현대위아              2023-01-02       -17.1%    1.0%
2024-05-02    대한항공              세방전지              2024-05-03        +0.5%    4.0%
2024-05-02    에스엘               종근당               2024-05-03        -1.3%    0.8%
2024-05-02    현대모비스             영원무역홀딩스           2024-05-03        +0.0%   10.9%
2024-05-02    한국타이어앤테크놀로지       LX인터내셔널           2024-05-03        -3.7%    3.5%
2024-05-02    현대제철              세아베스틸지주           2024-05-09        +0.5%    2.2%
2024-05-02    OCI홀딩스            HD현대              2024-05-03        +1.6%    1.0%
