ym,logB_bull,logB_bear,lldiff,raw_dur,raw_plain,E_d_bear,frac_long,breadth,newlow,trend,d_breadth,d_newlow,diverg,kospi_ret,fcf_next,pb_FULL,exp_FULL,pb_NO_DURATION,exp_NO_DURATION,pb_NO_EMA,exp_NO_EMA,pb_NO_BOTH,exp_NO_BOTH
2021-04,-7.566099164602463,-8.176614201840362,0.6105150372378993,0.3715141832824841,0.2899530997501615,1.2919493979005263,1.5552131534783512e-07,0.73933281613654,0.019296254256526674,0.15110312854570276,0.034751457526745355,0.004714519797585769,-0.25942573285138426,0.017808864606451147,0.0108742818508328,0.25135994448450527,0.8500000000000001,0.2041120713728915,0.8500000000000001,0.3715141832824841,0.65,0.2899530997501615,0.7000000000000001
2021-05,-7.810486971441488,-7.520325061108666,-0.2901619103328219,0.6807343544656659,0.6335898699267863,1.5996253417735078,8.008481703908835e-08,0.7378752886836027,0.01539039039039039,0.13618449709010436,0.05577167800856353,-0.006373641682920032,-0.38007189547270825,0.02895203751264175,-0.0061720867048333,0.4660471494750856,0.55,0.4188509706498389,0.6000000000000001,0.6807343544656659,0.30000000000000004,0.6335898699267863,0.35000000000000003
2021-06,-8.19100305928666,-7.833126708179626,-0.3578763511070333,0.8808109368176577,0.8063089730805586,2.3684165215557345,5.991077766085518e-06,0.7627443464929091,0.013852489704230626,0.13013010064537364,0.039265407335342783,0.00168518932400249,-0.5098305766807847,-0.02862269472253287,-0.0331986286759478,0.6734290431463716,0.35000000000000003,0.6125799718651987,0.4,0.8808109368176577,0.30000000000000004,0.8063089730805586,0.2
2021-07,-9.421035284331325,-6.648456399556561,-2.772578884774764,0.994398857536541,0.9920404676069298,3.2065772904443013,0.0013169066560797683,0.7041555470834922,0.02381838481577968,0.06820764477687961,-0.035177269053047855,0.004522130559253008,-0.7843306492500426,-0.0009524497124010489,-0.0257047239364227,0.8339139503414563,0.2,0.8023102197360643,0.2,0.994398857536541,0.30000000000000004,0.9920404676069298,0.2
2021-08,-10.055388348140355,-6.335415130608908,-3.7199732175314466,0.9994454373566305,0.9994529918791776,4.181721443205106,0.1012099671613703,0.5696969696969697,0.01664201183431953,0.03902834569868092,-0.16817831898663305,0.0012516214439291379,-0.4240959555270053,-0.04077491126897381,-0.0622183930072137,0.9166796938490434,0.2,0.900881605807621,0.2,0.9994454373566305,0.30000000000000004,0.9994529918791776,0.2
2021-09,-11.914870514639684,-7.5434033456782235,-4.371467168961461,0.9997199129657609,0.9997120472686811,5.167622809682999,0.36808443794471,0.42413923571698825,0.04195804195804196,-0.01894062537778562,-0.33860511077592087,0.028105552253811332,-0.29270330058058236,-0.03197976242745859,0.0088496580000596,0.9581998034074022,0.2,0.9502968265381511,0.2,0.9997199129657609,0.30000000000000004,0.9997120472686811,0.2
2021-10,-13.459647642446306,-6.828213492834911,-6.631434149611395,0.9999523384813669,0.9999492006123317,6.164082522971086,0.7723847402535152,0.37410881801125706,0.03468419131069733,-0.05652299926207223,-0.3300467290722351,0.01086580649491765,-0.42949309057032303,-0.044323159985223404,-0.0457325892374292,0.9790760709443845,0.2,0.9751230135752413,0.2,0.9999523384813669,0.30000000000000004,0.9999492006123317,0.2
2021-11,-10.53108944286079,-42.508534476683835,31.977445033823045,3.61953126302002e-13,3.441100060799002e-13,0.0026136501426809863,0.00033510036468818114,0.19947604790419163,0.23113207547169812,-0.09672632705117,-0.3702209217927781,0.2144900636373786,0.03140113753328455,0.04883388649607845,0.0502855456640621,0.48953803547237323,0.5,0.4875615067877927,0.5,3.61953126302002e-13,1.0,3.441100060799002e-13,1.0
2021-12,-12.169832260280288,-4.9244520095607225,-7.245380250719565,0.9946805172874851,0.9984866192442308,0.9999999990117034,2.3683275538407067e-12,0.3117559523809524,0.01733477789815818,-0.04652629484340204,-0.11238328333603587,-0.02462326405988378,-0.006849444206107336,-0.1055563362924995,-0.048658471776426,0.7421092763799292,0.25,0.7430240630160118,0.25,0.9946805172874851,0.2,0.9984866192442308,0.2
2022-01,-5.110294851350538,-9.928299948744822,4.818005097394284,0.0037737788126720718,0.001555065779192186,1.4705357904152907,2.0401099202386856e-08,0.16518847006651885,0.02843772498200144,-0.15162837328133236,-0.2089203479447382,-0.0062464663286958926,-0.2795851971417709,0.013456728231198367,0.0120577418346082,0.3729415275963006,0.65,0.37228956439760197,0.65,0.0037737788126720718,1.0,0.001555065779192186,1.0
