ym,hreg,areg,hret,aret,gap,hstop,astop,cum_h,cum_a
2021-03,Bull,Bull,6.312585049175204,6.312585049175204,0.0,0,0,1.3622455347343703,1.3029290359983072
2021-04,Bull,Bull,6.548105732382687,6.548105732382687,0.0,0,0,1.4514468126834388,1.388246206893391
2021-05,Bull,Bear,1.0874281850832832,1.4499770102283862,-0.362548825145103,0,7,1.4672302544160514,1.4083754577387126
2021-06,Bull,Bull,-0.6172086704833357,-0.6841057854169883,0.06689711493365258,0,0,1.4581743820698407,1.398740679751929
2021-07,Bull,Bull,-3.3198628675947877,-3.3198628675947877,0.0,0,0,1.4097649922147242,1.3523044073109018
2021-08,Bull,Bull,-2.570472393642271,-2.570472393642271,0.0,0,0,1.3735273722746115,1.3175437958429672
2021-09,Bull,Bull,-6.221839300721372,-6.221839300721372,0.0,0,0,1.288068706420264,1.2355683381489933
2021-10,Bull,Bull,0.8849658000059669,0.8849658000059669,0.0,0,0,1.2994676739526627,1.246502695377314
2021-11,Bear,Bull,-5.440479189079053,-4.573258923742924,-0.8672202653361285,18,0,1.2287704055824584,1.1894968996262747
2021-12,Bear,Bull,4.928073113767575,5.028554566406212,-0.10048145263863717,0,0,1.2893251095699003,1.249311400289692
2022-01,Bear,Bull,-7.080436808556814,-4.865847177642602,-2.214589630914212,24,0,1.1980352599299477,1.1885218167787286
2022-02,Bull,Bull,0.8698799374550696,1.2057741834608269,-0.33589424600575724,0,0,1.208456728299716,1.202852706010246
2022-03,Bull,Bull,-1.7807556959510153,-1.7807556959510153,0.0,0,0,1.1869370662774155,1.1814328379340677
2022-04,Bull,Bull,-0.9436443403210281,-0.9436443403210281,0.0,0,0,1.1757366018283162,1.1702843138242087
2022-05,Bull,Bear,-0.08709780742757363,0.7808861214897754,-0.8679839289173491,0,8,1.1747125610270004,1.1794229016128337
2022-06,Bull,Bear,-14.55618813484261,-10.980686900680825,-3.5755012341617847,0,24,1.0037191906002825,1.0499141655518036
2022-07,Bear,Bear,3.397505665780959,3.2953564689185697,0.10214919686238888,6,5,1.037820606969458,1.0845125799244073
2022-08,Bull,Bear,-0.15153704709259921,-0.769838490527459,0.6183014434348597,0,5,1.036247924267538,1.0761635846495368
2022-09,Bull,Bear,-9.18289987469501,-7.489496391518152,-1.6934034831768585,0,23,0.9410903149284446,0.9955643518103774
2022-10,Bear,Bear,1.828617596212714,0.420833720242216,1.407783875970498,11,7,0.9582992580234798,0.9997540223095064
2022-11,Bear,Bear,3.7364901760320537,3.8161042131053327,-0.07961403707327924,4,4,0.9941060156565152,1.0379056776755495
2022-12,Bull,Bear,-8.62466274325213,-7.322502953182726,-1.3021597900694057,0,9,0.9083677244957595,0.9619050037765062
2023-01,Bear,Bull,4.391775160626869,6.228606354375694,-1.8368311937488244,9,3,0.9482611925873159,1.0218182799647875
