ym,kospi,fcf_next,pbear,base_exp,trend,mom3,d_breadth,score_FULL_BASE,final_FULL_BASE,score_TREND_LEVEL,final_TREND_LEVEL,score_TREND_CROSS,final_TREND_CROSS,score_PRICE_MOM,final_PRICE_MOM,score_TREND_PLUS_MOM,final_TREND_PLUS_MOM,score_PRICE_PLUS_THRUST,final_PRICE_PLUS_THRUST
2020-05,0.038790945746012495,-0.0255872504014709,0.9061051231232773,0.2,0.0002933678401253365,0.02143419792099399,0.23836640781329108,0.0,0.2,0.005867356802506729,0.2,0.005867356802506729,0.2,0.1428946528066266,0.2,0.1428946528066266,0.2,0.5020528179461793,0.30123169076770756
2020-06,0.06689656450185977,0.0713037040630856,0.9509410211187441,0.2,0.028130658314911024,0.201574146562153,0.3175310984608897,0.0,0.2,0.5626131662982204,0.33756789977893226,0.5626131662982204,0.33756789977893226,1.0,0.6,1.0,0.6,0.4848868218251562,0.2909320930950937
2020-07,0.034142804734832444,0.0515662993231083,0.950359064453985,0.2,0.08500565887107073,0.15496829340999851,0.29762014417627786,0.0,0.2,1.0,0.6,1.0,0.6,1.0,0.6,1.0,0.6,0.8362070562732471,0.5017242337639483
2020-08,0.0007394002849707704,0.0431200007702073,0.95242230674434,0.2,0.10648609531186078,0.14612236394191114,0.15561545623624612,0.0,0.2,1.0,0.6,1.0,0.6,0.9741490929460743,0.5844894557676446,0.9741490929460743,0.5844894557676446,0.26565740679980077,0.25086211688197413
2020-09,-0.02609229518459133,0.0038437153337298,0.9604045879291926,0.2,0.09428833212388435,0.10413920321640813,0.20136999611348616,0.0,0.2,1.0,0.6,1.0,0.6,0.6942613547760542,0.4165568128656325,0.6942613547760542,0.4165568128656325,0.00744465162554373,0.2
2020-10,0.14299459652479585,0.1057763869611419,0.9793547145258792,0.2,0.05982764941382349,0.007904339539497762,0.004653642398620983,0.0,0.2,1.0,0.6,1.0,0.6,0.052695596929985086,0.20827840643281625,0.052695596929985086,0.20827840643281625,0.0,0.2
2020-11,0.1088741242922524,0.1024922224157638,0.6466781506782673,0.35000000000000003,0.1789921716056031,0.11399432325300007,0.18201521660509057,0.0,0.35000000000000003,1.0,0.6,1.0,0.6,0.7599621550200005,0.4559772930120003,0.7599621550200005,0.4559772930120003,0.7280608664203623,0.43683651985221733
2020-12,0.03575467684780964,0.1507841391453649,0.3258618444693014,0.65,0.250970199987554,0.234366788508529,0.1419830234360796,0.0,0.65,1.0,0.65,1.0,0.65,1.0,0.65,1.0,0.65,0.5679320937443184,0.65
2021-01,0.012344555900485554,-0.0010624680003278,0.16655465756218138,0.8500000000000001,0.22547621511658206,0.3127539373822319,0.10169905276511892,0.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,0.18181083836725842,0.8500000000000001
2021-02,0.01608721402234803,0.063125850491752,0.09125553494310824,0.8500000000000001,0.19342085260031527,0.1626995488749008,-0.10409503312232815,0.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,0.0,0.8500000000000001
2021-03,0.0282353247031637,0.0654810573238268,0.13120570568652648,0.8500000000000001,0.16590025086033847,0.06540870553308231,-0.0787450481339349,0.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,0.43605803688721545,0.8500000000000001,0.43605803688721545,0.8500000000000001,0.0,0.8500000000000001
2021-04,0.017808864606451147,0.0108742818508328,0.25135994448450527,0.8500000000000001,0.15110312854570276,0.05767407163381222,0.034751457526745355,0.0,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001,0.38449381089208146,0.8500000000000001,0.38449381089208146,0.8500000000000001,0.049060934358792864,0.8500000000000001
2021-05,0.02895203751264175,-0.0061720867048333,0.4660471494750856,0.55,0.13618449709010436,0.06338305441444447,0.05577167800856353,0.0,0.55,1.0,0.6,1.0,0.6,0.4225536960962965,0.55,0.4225536960962965,0.55,0.049661513126454844,0.55
2021-06,-0.02862269472253287,-0.0331986286759478,0.6734290431463716,0.35000000000000003,0.13013010064537364,0.0768466972089008,0.039265407335342783,0.0,0.35000000000000003,1.0,0.6,1.0,0.6,0.5123113147260054,0.35000000000000003,0.5123113147260054,0.35000000000000003,0.05684067730610014,0.35000000000000003
2021-07,-0.0009524497124010489,-0.0257047239364227,0.8339139503414563,0.2,0.06820764477687961,0.017300629341531648,-0.035177269053047855,0.0,0.2,1.0,0.6,1.0,0.6,0.11533752894354432,0.2,0.11533752894354432,0.2,0.0,0.2
2021-08,-0.04077491126897381,-0.0622183930072137,0.9166796938490434,0.2,0.03902834569868092,-0.0014513166549521284,-0.16817831898663305,0.0,0.2,0.7805669139736183,0.468340148384171,0.7805669139736183,0.468340148384171,0.0,0.2,0.0,0.2,0.0,0.2
2021-09,-0.03197976242745859,0.0088496580000596,0.9581998034074022,0.2,-0.01894062537778562,-0.06911798172892492,-0.33860511077592087,0.0,0.2,0.0,0.2341700741920855,0.0,0.2341700741920855,0.0,0.2,0.0,0.2,0.0,0.2
2021-10,-0.044323159985223404,-0.0457325892374292,0.9790760709443845,0.2,-0.05652299926207223,-0.07233509823314588,-0.3300467290722351,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
2021-11,0.04883388649607845,0.0502855456640621,0.48953803547237323,0.5,-0.09672632705117,-0.11260694082283473,-0.3702209217927781,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
2021-12,-0.1055563362924995,-0.048658471776426,0.7421092763799292,0.25,-0.04652629484340204,-0.029708540737080513,-0.11238328333603587,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
2022-01,0.013456728231198367,0.0120577418346082,0.3729415275963006,0.65,-0.15162837328133236,-0.1034577439583888,-0.2089203479447382,0.0,0.65,0.0,0.65,0.0,0.65,0.0,0.65,0.0,0.65,0.0,0.65
2022-02,0.021662124120634507,-0.0178075569595101,0.6864707548389819,0.30000000000000004,-0.12499562763251286,-0.04925311205103633,-0.013977336089690345,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.30000000000000004
2022-03,-0.022700435418731346,-0.0094364434032102,0.3485674740013403,0.65,-0.08662633775378654,-0.07388376982358968,0.007718883505262064,0.0,0.65,0.0,0.65,0.0,0.65,0.0,0.65,0.0,0.65,0.00836037062818526,0.65
2022-04,-0.003395167554811729,-0.0008709780742757,0.1887263785495988,0.8,-0.08958797063819257,0.011906087803685184,0.17975168227298058,0.0,0.8,0.0,0.8,0.0,0.8,0.07937391869123456,0.8,0.0,0.8,0.0,0.8
2022-05,-0.1315238924046893,-0.1455618813484261,0.09816377927904471,0.8,-0.07187937994158612,-0.004920023723206546,0.12436044311507616,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8
2022-06,0.05095518935436982,0.037601582629774,0.08047867950777665,0.8,-0.188198407031154,-0.1541203650994295,-0.18925900854808494,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8
2022-07,0.00838264280160117,-0.0011959298209331,0.041391361361416364,0.9500000000000001,-0.11012047432411311,-0.09036939738244432,-0.17082502899305682,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001
2022-08,-0.12805568347769303,-0.0918289987469501,0.023640244520437847,0.9500000000000001,-0.0810094452419559,-0.07961944275325228,-0.09412401787012567,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001,0.0,0.9500000000000001
2022-09,0.06407829208823257,0.0100058931949772,0.5118201205226682,0.5,-0.1945588916680447,-0.07594395641924656,-0.02968296765784531,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
2022-10,0.0780079932923361,0.0437304375368187,0.31784499058352766,0.7000000000000001,-0.10422497886324614,-0.06440542222236367,-0.044433144547856046,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.7000000000000001
2022-11,-0.09550141925688738,-0.0861212453563599,0.1614822093927978,0.7000000000000001,-0.01108148224600031,0.00019416292521157175,0.013767315638515992,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0012944195014104785,0.7000000000000001,0.0,0.7000000000000001,0.05369803329914147,0.7000000000000001
2022-12,0.08436781614214572,0.0634698356536683,0.5807410816182724,0.4,-0.09679931345329791,0.03753666798544364,0.04711111937730744,0.0,0.4,0.0,0.4,0.0,0.4,0.25024445323629096,0.4,0.0,0.4,0.0,0.4
