dt,BM(무손절),HMM(p>=0.2)
2006-05-17,2.3851965778263446,1.7183243967108144
2006-05-18,2.3233827584749065,1.673792975345852
2006-05-19,2.335534526876008,1.6825472559367716
2006-05-22,2.278179534582142,1.6412280273885211
2006-05-23,2.2633217638315446,1.6305243100518336
2006-05-24,2.269312572564754,1.6348401609540195
2006-05-25,2.2052861677989486,1.5887147663573924
2006-05-26,2.2506765784953133,1.6214145659468104
2006-05-29,2.2622325069932785,1.6297395962815409
2006-05-30,2.242626299413501,1.6156150477539684
2006-06-01,2.2041458033539287,1.587893234050481
2006-06-02,2.2278877797453305,1.6049972403360577
2006-06-05,2.2152594225235194,1.5958996194077264
2006-06-07,2.156066426176986,1.5532562705608342
2006-06-08,2.0816753572104907,1.4996640468041589
2006-06-09,2.102983489646089,1.5150146825349047
2006-06-12,2.110114455069819,1.5201519160751538
2006-06-13,2.0488792319981,1.4760373224519927
2006-06-14,2.079292620861441,1.4979474947859461
2006-06-15,2.075327210738998,1.4950907654833376
2006-06-16,2.148152434046518,1.547554935132308
2006-06-19,2.1302483590770604,1.5346566234767567
2006-06-20,2.0862704712194073,1.502974422385187
2006-06-21,2.088585064092784,1.5046418830212411
2006-06-22,2.1083954943450802,1.5189135560264406
2006-06-23,2.091018908048588,1.5063952535760723
2006-06-26,2.107068150850959,1.5179573217562898
2006-06-27,2.1232194011123404,1.5295928773408969
2006-06-28,2.108191271672562,1.5187664315488136
2006-06-29,2.1495651646397294,1.5485726832990043
2006-06-30,2.204248018567437,1.5879668711237176
2006-07-03,2.2033289126638542,1.5873047361399726
2006-07-04,2.1885392853889294,1.5766501101854433
2006-07-05,2.1782084851715764,1.5692076770476262
2006-07-06,2.151164874282041,1.5497251334289401
2006-07-07,2.1681332229879953,1.561949336592903
2006-07-10,2.2112940124010754,1.5930428901051172
2006-07-11,2.2132510597816704,1.5944527706536882
2006-07-12,2.2068688415723416,1.5898549436417881
2006-07-13,2.1870075114677903,1.575546601768818
2006-07-14,2.1361369525967615,1.538898837305705
2006-07-18,2.099188230458328,1.5122805320188435
2006-07-19,2.0995796399344466,1.5125625081285576
2006-07-20,2.167061002018648,1.56117689566815
2006-07-21,2.163708052159261,1.5587613901295738
2006-07-24,2.1501267250505296,1.5489772381952662
2006-07-25,2.1780724059747296,1.569109643952158
2006-07-26,2.1768979697918738,1.5682635659541673
2006-07-27,2.2061541660957755,1.5893400828045179
2006-07-28,2.207515581327733,1.5903208627657477
2006-07-31,2.2087920249695987,1.5912404281681278
2006-08-01,2.190989957459151,1.5784156039169661
2006-08-02,2.204179875091764,1.5879177797415593
2006-08-03,2.198972093065291,1.58416603072765
2006-08-04,2.2201780102873805,1.5994430293851585
2006-08-07,2.1947002450568203,1.581088539874177
2006-08-08,2.231393636915981,1.6075229021467932
2006-08-09,2.2379121420766546,1.61221891192301
2006-08-10,2.219837708418016,1.599197871812063
2006-08-11,2.199057064655382,1.5842272452864998
2006-08-14,2.2041798750917634,1.5879177797415596
2006-08-16,2.2390693346360933,1.6130525674066127
2006-08-17,2.259781834923054,1.6279741025500176
2006-08-18,2.2654321340324004,1.63204464621026
2006-08-21,2.249383098984528,1.6204827276988902
2006-08-22,2.2720015390453296,1.6367773248542472
2006-08-23,2.254965254618202,1.6245041799769744
2006-08-24,2.2392735573086124,1.6131996918842397
2006-08-25,2.262453765534714,1.6298989936047066
2006-08-28,2.259969021726655,1.6281089541821048
2006-08-29,2.288425155454902,1.6486090962986393
