as_of,ai_says_bear,ai_v2_p_bear_total,kospi_ret_6m,vix_zscore_3m,foreign_5d_norm,kospi_next_ret,real_bear
2020-03-01,1,0.6000000000000001,4.899691358024683,4.5031335234808,-2.1329645087778277,-12.258652094717668,1
2020-04-01,1,0.75,-12.402254955446445,1.0132365697660766,-3.1900102788159352,12.480940971465913,0
2020-05-01,0,0.30000000000000004,-7.3555794761392175,-0.34488098854700977,-2.069594333643342,6.9502696225284595,0
2020-06-01,0,0.2,-3.652392947103278,-1.127575188888456,-1.615246003658807,2.801684673136788,0
2020-07-01,0,0.30000000000000004,-4.734430680468349,-0.6040531098073704,-1.1947867197358952,6.569343065693431,0
2020-08-01,0,0.2,3.581934590759639,-1.3619357466351036,-0.7938970248252373,2.72302038088874,0
2020-09-01,0,0.2,12.003642987249542,-0.13895503793654598,-0.7887719191418694,0.32273680813296757,0
2020-10-01,0,0.25,35.417120453060335,0.20185726704354331,-1.3255264816477896,-4.089101034208433,1
2020-11-01,1,0.44999999999999996,20.391451967245857,2.8752260169417405,-1.0672832425322578,13.34967320261438,0
2020-12-01,0,0.05,27.028016846731372,-1.6705472429392918,2.7917166028149785,12.104441606357314,0
2021-01-01,0,0.2,40.64447213815203,-0.6242107134206749,0.2866809588731293,1.4430192402565367,0
2021-02-01,0,0.2,37.40394253257602,2.4577200842303193,-1.1473640165143006,-1.055753262158956,0
2021-03-01,0,0.2,34.59738583185412,1.4618757928382353,-1.9517763407254427,0.03557031064737966,0
2021-04-01,1,0.55,34.24025457438344,-1.1001577601944494,-1.8403159843360022,-0.6459948320413437,0
2021-05-01,0,0.30000000000000004,38.21895424836601,-0.6514407982680059,-1.1276012779573477,1.7489589530041643,0
2021-06-01,0,0.30000000000000004,21.35660564779338,-1.05769293278341,-2.3796891004844265,2.069526799209394,0
2021-07-01,0,0.15000000000000002,8.27577701036013,-1.066945293868073,-1.596297934139107,-2.646654445462878,0
2021-08-01,1,0.55,0.794780545670215,0.08099662634198292,-1.7405712182165518,-1.6399203467260162,0
2021-09-01,1,0.6,-0.4387004979843456,-0.5637104200877353,-2.0552675481107467,-4.400047568081817,1
2021-10-01,1,0.6000000000000001,-5.5790462767207005,2.1207240280724586,-1.2055679846784613,-1.5718088477627075,0
2021-11-01,1,0.55,-7.614515169541935,-0.8585170794895932,-1.420947619037046,-3.988713607797871,1
2021-12-01,1,0.55,-12.96360888268806,2.8449267386138914,-0.6580510535270555,4.017740673102009,0
2022-01-01,1,0.6000000000000001,-8.63886342804766,-0.5486138360375635,0.4228646882863567,-9.295633679469535,1
2022-02-01,1,0.75,-15.07555347311702,0.8218863891687672,0.9967435351975206,0.01366120218579235,0
2022-03-01,1,0.6000000000000001,-12.938518254251397,1.4812051177221173,0.6399307785205685,1.7144424633109314,0
2022-04-01,1,0.55,-5.995690201546456,-0.9629748854619181,-1.2190200024188054,-3.492322326403044,1
2022-05-01,1,0.6000000000000001,-8.91368475054508,1.639139552996581,-2.2241357243683715,0.18374558303886926,0
2022-06-01,1,0.6000000000000001,-7.539786068353771,-0.1628636010656267,-1.5884783019599114,-11.924119241192411,1
2022-07-01,1,0.75,-22.74490178906543,0.33902113513230936,-1.6968283296238298,5.971858638743456,0
2022-08-01,1,0.55,-11.516393442622952,-1.9977966742895972,-0.9506195378167481,-0.4324992276799506,0
2022-09-01,1,0.55,-11.589631051981897,0.26871279546431415,0.15178411159425215,-10.238095238095237,1
2022-10-01,1,0.75,-23.155320016306568,2.164104065120103,-0.07066364493252623,3.470303867403315,0
2022-11-01,1,0.55,-15.29328621908127,-0.12524457986163812,1.749630664834792,5.440499671268903,0
2022-12-01,0,0.2,-8.500927114534306,-1.788593014626842,1.973161791280131,-8.275220827522082,1
2023-01-01,1,0.6000000000000001,-3.1577225130890008,-0.8575859760465498,1.205196511391786,9.296397008837525,0
2023-02-01,0,0.2,-0.6641952425084918,-1.23215306581465,2.573459059282992,-1.8458698661744346,0
2023-03-01,1,0.55,1.28571428571429,-0.0077472233168193565,1.6259591861637248,2.2041581991558545,0
2023-04-01,1,0.5,12.879834254143653,-0.9970010277571468,0.9954789262560896,0.3074558032282859,0
2023-05-01,0,0.30000000000000004,7.24852071005917,-1.734377595847754,1.3382744189864204,3.001819284414797,0
2023-06-01,0,0.2,5.284363861769714,-0.4673141650757648,1.9190673483209648,0.29533372711163614,0
2023-07-01,0,0.3,15.431679129843644,-1.4350690811623332,1.358232610802016,0.4204117135401566,0
2023-08-01,0,0.25,6.552838024919239,-0.8416094992767547,0.3572847838892342,-4.630024144297685,1
2023-09-01,1,0.55,4.971080193840871,-0.8603344847475674,-0.20564957786251292,-3.052196992037747,1
2023-10-01,1,0.55,1.0760953112989968,1.5996894594751832,-1.2075031096417588,-4.202468364318075,1
2023-11-01,1,0.6000000000000001,-7.034566403881137,0.651637643274814,-2.179616786708631,9.232748914267331,0
2023-12-01,0,0.2,0.2805670407560523,-1.237808214812069,-0.6375827524411203,7.745010425975574,0
2024-01-01,0,0.2,4.870977094810081,-0.9894558443453593,0.8469877191638558,-7.034899697719153,1
2024-02-01,1,0.55,-3.9056952137480505,0.9879974048235739,2.394983088386584,4.141238012205754,0
2024-03-01,0,0.2,5.676791506930101,0.05760196400758723,2.5010644338729695,4.401650618982118,0
2024-04-01,0,0.2,18.575222621465404,-0.9189075020243372,2.007998799582003,-3.489137590520079,1
2024-05-01,1,0.55,17.902525333762263,0.6323556041085601,1.5998122061121705,-1.3829932904285909,0
2024-06-01,0,0.25,7.268394399761702,-0.829489347890068,1.1950657990181701,5.141843971631205,0
2024-07-01,0,0.15000000000000002,5.921956581478427,-0.8408737512075495,1.2173946561818803,-1.2817193164163645,0
2024-08-01,1,0.55,10.796280151118864,1.839297040157915,1.2145208643760135,-4.861748132616958,1
2024-09-01,1,0.44999999999999996,-0.13755158184318717,-0.13558448901032127,0.5334307551289085,-4.247104247104247,1
2024-10-01,1,0.55,-8.571428571428575,-0.10180412983186495,-2.615750571631928,-0.7859118032309707,0
2024-11-01,1,0.55,-6.654799397507871,1.1037850673961473,-2.2987318968055566,-3.5603486482493722,1
2024-12-01,1,0.55,-10.965630114566283,-1.805055453848238,-1.8750535083968254,-1.9571865443425076,0
2025-01-01,1,0.55,-16.98601760745727,-0.020892907008929706,-1.602565336242009,4.548296342607064,0
2025-02-01,0,0.15000000000000002,-12.344384746429037,0.07132709827395255,-1.2226141155535972,3.84260682446972,0
2025-03-01,0,0.25,-6.83949255377827,1.2075183885437948,-1.4065890787112998,0.5045258940495623,0
2025-04-01,1,0.6000000000000001,-1.4262843836413963,1.1467987084355433,-1.295536281437098,-1.208151382823872,0
2025-05-01,1,0.55,0.26591815630079285,0.10681955489122578,-2.1432518545174,6.403650817017518,0
2025-06-01,0,0.2,10.519877675840972,-0.8464524166992705,-1.2677615865391476,15.432525951557095,0
2025-07-01,0,0.15000000000000002,30.35323538605814,-0.8769503828112561,-0.42058467513830355,5.033476805356289,0
2025-08-01,0,0.2,35.02920381186596,-0.6593557044059974,0.6773415979633532,2.5154247745609872,0
2025-09-01,1,0.55,28.208933076124044,-0.83099028821126,0.9552964347603806,12.14832254267216,0
2025-10-01,0,0.2,38.67540029112082,0.3082939358023451,2.13056144033473,20.795678819985458,0
2025-11-01,0,0.2,71.19093184160165,0.43416886657054027,1.879655962386474,-7.141665276155515,1
2025-12-01,1,0.55,54.0484429065744,-0.5655704106333149,-0.5654421695834193,9.572649572649574,0
2026-01-01,0,0.2,45.612147297943565,-1.003011728669507,-0.33052183241086897,23.3721672518353,0
2026-02-01,0,0.15000000000000002,83.44803037494069,0.13873960398764792,0.08236319205048666,29.463548830811554,0
2026-03-01,0,0.2,121.58917010005888,1.4531306687940582,-2.6874759570442683,-13.00386367568191,1
2026-04-01,1,0.7,56.7051002389114,1.0681399471581452,-0.2910114265118859,21.583302908604114,0
2026-05-01,1,0.6000000000000001,66.70281995661604,0.4876219861891128,1.9866001310899042,17.147063013438434,0
