ym,ret,pbear_raw,pbear,rvol,dvol,tgt_vol,exposure,exp_bin,regime
2019-08,0.04840964120898228,0.9948776979698121,0.8979169490992944,0.16875024789166995,0.10827116606949616,0.10583605789747141,0.25,0.2,Bear
2019-09,0.009902780425627533,0.9647429439393398,0.9313299465193171,0.11098378053366924,0.11043654499287629,0.1060551287115383,0.25,0.2,Bear
2019-10,0.002150239268313925,0.9500918013152614,0.9407108739172892,0.12417722076634585,0.10052635672791625,0.10580382089410095,0.25,0.2,Bear
2019-11,0.05254409231498869,0.9378960319478029,0.9393034529325461,0.1321266913365744,0.08376144738924235,0.10484545682867231,0.25,0.2,Bear
2019-12,-0.035792414195787936,0.7230063749862903,0.8311549139594182,0.10310794438235084,0.06770942545178325,0.10329812218796862,0.25,0.2,Bear
2020-01,-0.062293240424381,0.9999999965423014,0.9155774552508598,0.19080618647460365,0.10949615025869758,0.10354604331079777,0.25,0.2,Bear
2020-02,-0.11694455185185326,0.9999999980196941,0.9577887266352769,0.2521565877004674,0.15436902523665927,0.10550077338486938,0.25,0.2,Bear
2020-03,0.10994850358748165,0.9999999840852358,0.9788943553602564,0.6969832212558935,0.3323674489224083,0.11390324284922267,0.25,0.2,Bear
2020-04,0.04212446061941999,0.9980444642868067,0.9884694098235316,0.2904229890949071,0.3356519464949667,0.12182283940799923,0.25,0.2,Bear
2020-05,0.038790945746012495,0.9400278882550566,0.9642486490392941,0.18228463901127956,0.31987744513489874,0.12865230857099577,0.25,0.2,Bear
2020-06,0.06689656450185977,0.7656050676237034,0.8649268583314987,0.32339696781454785,0.15505969470575512,0.12953255477548775,0.25,0.2,Bear
2020-07,0.034142804734832444,0.08805347393998508,0.4764901661357419,0.14431760120698328,0.13894865770708908,0.12983630003134586,0.5,0.2,Bear
2020-08,0.0007394002849707704,0.007137485316274081,0.24181382572600799,0.22803190417476352,0.16733422837737533,0.13100811029215928,0.7000000000000001,1.0,Bull
2020-09,-0.02609229518459133,0.005924240444762083,0.12386903308538504,0.18645952137793292,0.1389491899059457,0.1312487490683346,0.8500000000000001,1.0,Bull
2020-10,0.14299459652479585,0.008818677320474814,0.06634385520292993,0.14245709007193966,0.1488966810730097,0.13176780589200154,0.8500000000000001,1.0,Bull
2020-11,0.1088741242922524,0.02063080694489581,0.043487331073912866,0.15592178334880627,0.11562639216548891,0.13130662264267262,0.8500000000000001,1.0,Bull
2020-12,0.03575467684780964,0.14181898623553005,0.09265315865472146,0.15978675829661762,0.09079209977450621,0.130181219229668,0.8500000000000001,1.0,Bull
2021-01,0.012344555900485554,2.6013825753855166e-05,0.04633958624023766,0.30601753665008413,0.12542535704011964,0.13005268241373427,0.8500000000000001,1.0,Bull
2021-02,0.01608721402234803,3.4184511622791553e-05,0.023186885375930225,0.27948637650588865,0.1559743736935463,0.13073483218425563,0.8500000000000001,1.0,Bull
2021-03,0.0282353247031637,3.729358105635475e-05,0.01161208947849329,0.14081191792685263,0.15343091191591163,0.1313167829466058,0.8500000000000001,1.0,Bull
2021-04,0.017808864606451147,5.581999873382374e-05,0.005833954738613556,0.10191269994316295,0.1153750914748044,0.13091824065981075,0.8500000000000001,1.0,Bull
2021-05,0.02895203751264175,8.499842490511388e-05,0.002959476581759335,0.14392173228009475,0.08054550028178602,0.12968963723595647,0.8500000000000001,1.0,Bull
2021-06,-0.02862269472253287,0.0001140557304889097,0.0015367661561241225,0.07884841339555618,0.07370813265460989,0.12835674426973392,0.8500000000000001,1.0,Bull
2021-07,-0.0009524497124010489,0.0007914346834069527,0.0011641004197655376,0.11183031732938538,0.07878789299842646,0.12720398028668028,0.8500000000000001,1.0,Bull
2021-08,-0.04077491126897381,0.0006020195888334275,0.0008830600042994826,0.1525542868747751,0.08579427429652298,0.1262628506050858,0.8500000000000001,1.0,Bull
2021-09,-0.03197976242745859,0.0012600098068692434,0.001071534905584363,0.12597279022284144,0.09820526101185063,0.125639348614125,0.8500000000000001,1.0,Bull
2021-10,-0.044323159985223404,0.0015793957934426917,0.0013254653495135273,0.17365237637142128,0.11696983398600812,0.12545088090481812,0.8500000000000001,1.0,Bull
2021-11,0.04883388649607845,0.999999914147267,0.5006626897483902,0.15671222525731507,0.12381638882730889,0.12541610447763707,0.5,1.0,Bull
2021-12,-0.1055563362924995,0.03608139368176575,0.268372041715078,0.10846739296906756,0.10134894046368373,0.12491470522734638,0.75,1.0,Bull
2022-01,0.013456728231198367,0.0007799236985917395,0.13457598270683488,0.2069923804257579,0.14359472564860948,0.12529593013390278,0.75,1.0,Bull
2022-02,0.021662124120634507,0.0010249803985553749,0.06780048155269512,0.23398287211493077,0.1527320234998763,0.12584465200122225,0.9,1.0,Bull
2022-03,-0.022700435418731346,0.0018467603095670413,0.03482362093113108,0.17675509301492923,0.15301149314357057,0.12637733516087613,0.9,1.0,Bull
2022-04,-0.003395167554811729,0.005084969411191134,0.019954295171161106,0.14902312912184654,0.11884973472732556,0.12623257361407708,0.9,1.0,Bull
2022-05,-0.1315238924046893,0.0009819513374062431,0.010468123254283675,0.17686444356257594,0.11682218939962222,0.12605501919493642,0.9,1.0,Bull
2022-06,0.05095518935436982,0.0024507952203814665,0.006459459237332571,0.23332467297091142,0.1639282015178749,0.12675637442313897,0.9,1.0,Bull
2022-07,0.00838264280160117,0.0010449789079290891,0.00375221907263083,0.15507651918868495,0.16139784012216862,0.12738621925403043,0.9,1.0,Bull
2022-08,-0.12805568347769303,0.0013653819755783583,0.002558800524104594,0.15202427346659525,0.15316190520290957,0.1278464993602604,0.9,1.0,Bull
2022-09,0.06407829208823257,0.9999999259396725,0.5012793632318885,0.2025697743347164,0.14269268131886595,0.1281069586928675,0.45,1.0,Bull
2022-10,0.0780079932923361,0.014982689384660035,0.2581310263082743,0.1922684204779021,0.14612749078856044,0.1284176575221036,0.7000000000000001,1.0,Bull
2022-11,-0.09550141925688738,0.0013365772406085496,0.1297338017744414,0.17955536640044603,0.13259847241967043,0.1284885187915539,0.8500000000000001,1.0,Bull
2022-12,0.08436781614214572,0.9960231850983821,0.5628784934364117,0.16284444261971898,0.12337750264311023,0.12840333518907981,0.45,1.0,Bull
2023-01,-0.005043124381363007,0.01921077883430112,0.2910446361353564,0.15768136753559878,0.115374022505028,0.12818973989917734,0.7000000000000001,1.0,Bull
2023-02,0.026528796723759074,0.00249161095075443,0.14676812354305543,0.16246362789374147,0.12443355084981807,0.12812915620483284,0.8500000000000001,1.0,Bull
2023-03,0.009960159558901616,0.002276968549822093,0.07452254604643876,0.15639781390985655,0.10305846319880586,0.12773120869680066,0.8500000000000001,1.0,Bull
2023-04,0.030217541666638148,0.0025168991681345614,0.038519722607286665,0.12037531872082037,0.10636388636770039,0.12739734428540847,0.8500000000000001,1.0,Bull
2023-05,-0.0049823397074086895,0.0020214360554564503,0.02027057933137156,0.09100745390165735,0.08656927725813911,0.12676922017729664,0.8500000000000001,1.0,Bull
2023-06,0.02663517558449069,0.0011802136520992891,0.010725396491735425,0.10355386607308574,0.06857551504108492,0.1258874973722025,0.8500000000000001,1.0,Bull
2023-07,-0.02898679482832678,0.004665242298311122,0.007695319395023274,0.13125840780380701,0.06715963206196592,0.12501096206906465,0.8500000000000001,1.0,Bull
2023-08,-0.03567696310446833,0.0031820659210469726,0.005438692658035123,0.11617109897435197,0.0900560845465949,0.12449691975255772,0.8500000000000001,1.0,Bull
2023-09,-0.07589239775626777,0.018013417882655286,0.011726055270345204,0.12487490613796316,0.09968675321532759,0.12413735212158336,0.8500000000000001,1.0,Bull
2023-10,0.11295047385245627,0.9999914320196459,0.5058587436449955,0.19852608207861028,0.13434812668267498,0.12428322032959895,0.5,1.0,Bull
2023-11,0.047327914512986125,0.01582743531875036,0.26084308948187296,0.2456547835328897,0.13169297568165447,0.12438758308103634,0.75,1.0,Bull
2023-12,-0.0595756152499437,0.0017984346415036837,0.13132076206168833,0.1263432929224112,0.12390522699478675,0.12438088369094953,0.75,1.0,Bull
