pred_month,cutoff,month_ret,real_bear,p_bear_2s,p_bear_3s
2001-07,2001-06-29T00:00:00,-9.003077756160893,1,0.8774398281875154,0.04152292938631396
2001-08,2001-07-31T00:00:00,0.6573719211225848,0,0.8710451974832157,0.06199326349261231
2001-09,2001-08-31T00:00:00,-12.003080925692988,1,0.756934685432112,0.5798727848145142
2001-10,2001-09-28T00:00:00,12.118496866744021,0,0.8953591790358407,0.06907483828242675
2001-11,2001-10-31T00:00:00,19.724441265762536,0,0.8937713498596545,0.04365588902952623
2001-12,2001-11-30T00:00:00,7.7357928257032915,0,0.6912456894398659,0.4414806786553693
2002-01,2001-12-28T00:00:00,7.837681153299592,0,0.6760547874871623,0.29219978857420087
2002-02,2002-01-31T00:00:00,9.614071170612458,0,0.8735035610747227,0.07327282493287923
2002-03,2002-02-28T00:00:00,9.218408487384465,0,0.8972005853814569,0.05514382145500963
2002-04,2002-03-29T00:00:00,-5.944749683827977,1,0.913190536600024,0.04847339629300684
2002-05,2002-04-30T00:00:00,-5.453854853948281,1,0.7741978279384379,0.14334372641959675
2002-06,2002-05-31T00:00:00,-6.740338029300242,1,0.8414071270528438,0.11636018137121264
2002-07,2002-06-28T00:00:00,-3.3296506683856086,1,0.24550692393243795,0.9267682610835557
2002-08,2002-07-31T00:00:00,2.5641073594463215,0,0.8510241916929091,0.1774167373181254
2002-09,2002-08-30T00:00:00,-12.218908001191531,1,0.898566948741038,0.02491065053711695
2002-10,2002-09-30T00:00:00,1.933727349164771,0,0.854326153342836,0.06489629803634465
2002-11,2002-10-31T00:00:00,9.998179838445619,0,0.9046283399160062,0.085994656526686
2002-12,2002-11-29T00:00:00,-13.417494707212718,1,0.9000476773923777,0.021924672988282115
2003-01,2002-12-30T00:00:00,-5.687196739007905,1,0.5131997818242441,0.22103406637907036
2003-02,2003-01-30T00:00:00,-2.7759931541953997,0,0.8650029121466324,0.06805945490511357
2003-03,2003-02-28T00:00:00,-6.90439861919665,1,0.8948443386785264,0.04667045257099583
2003-04,2003-03-31T00:00:00,11.881643070470481,0,0.703598898883086,0.6494212478002184
2003-05,2003-04-30T00:00:00,5.684492986073986,0,0.6985484833933365,0.1312735608662143
2003-06,2003-05-30T00:00:00,5.763949788556566,0,0.9250010765674971,0.025370067189355663
2003-07,2003-06-30T00:00:00,6.506654028335834,0,0.9249747153243116,0.017750558428966542
2003-08,2003-07-31T00:00:00,6.439896557080771,0,0.9317122310569951,0.027277430718086994
2003-09,2003-08-29T00:00:00,-8.156998112054525,1,0.9231639168268623,0.024093936201742217
2003-10,2003-09-30T00:00:00,12.163086856966054,0,0.9278673392733413,0.03446021826735383
2003-11,2003-10-31T00:00:00,1.766451196760599,0,0.9270322387124097,0.019154754808156642
