ym,bench,ovA,ovB,ovP,expA,expB,expP
2021-02,-0.0010624680003278948,-0.0009030978002787107,-0.0009030978002787107,-0.0010093446003115,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-03,0.06312585049175204,0.05365697291798924,0.05365697291798924,0.05996955796716444,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-04,0.06548105732382686,0.05565889872525284,0.05565889872525284,0.06220700445763552,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-05,0.010874281850832833,0.009243139573207909,0.009243139573207909,0.01033056775829119,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-06,-0.006172086704833357,-0.005246273699108354,-0.005246273699108354,-0.0058634823695916894,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-07,-0.033198628675947875,-0.028218834374555697,-0.028218834374555697,-0.031538697242150485,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-08,-0.02570472393642271,-0.021849015345959306,-0.021849015345959306,-0.024419487739601575,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-09,-0.062218393007213726,-0.05288563405613167,-0.05288563405613167,-0.05910747335685304,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-10,0.008849658000059669,0.00752220930005072,0.00752220930005072,0.008407175100056686,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-11,-0.04573258923742924,-0.03887270085181486,-0.03887270085181486,-0.043445959775557784,0.8500000000000001,0.8500000000000001,0.9500000000000001
2021-12,0.050285545664062126,0.025142772832031063,0.025142772832031063,0.025142772832031063,0.5,0.5,0.5
2022-01,-0.04865847177642602,-0.03649385383231952,-0.03649385383231952,-0.03649385383231952,0.75,0.75,0.75
2022-02,0.012057741834608268,0.009043306375956201,0.009043306375956201,0.009043306375956201,0.75,0.75,0.75
2022-03,-0.017807556959510154,-0.01602680126355914,-0.01602680126355914,-0.016917179111534647,0.9,0.9,0.9500000000000001
2022-04,-0.00943644340321028,-0.008492799062889253,-0.008492799062889253,-0.008964621233049768,0.9,0.9,0.9500000000000001
2022-05,-0.0008709780742757363,-0.0007838802668481626,-0.0007838802668481626,-0.0008274291705619495,0.9,0.9,0.9500000000000001
2022-06,-0.1455618813484261,-0.1310056932135835,-0.1310056932135835,-0.1382837872810048,0.9,0.9,0.9500000000000001
2022-07,0.03760158262977404,0.03384142436679664,0.03384142436679664,0.03572150349828534,0.9,0.9,0.9500000000000001
2022-08,-0.0011959298209331046,-0.001076336838839794,-0.001076336838839794,-0.0011361333298864494,0.9,0.9,0.9500000000000001
2022-09,-0.09182899874695011,-0.0826460988722551,-0.0826460988722551,-0.0872375488096026,0.9,0.9,0.9500000000000001
2022-10,0.010005893194977297,0.004502651937739783,0.004502651937739783,0.005002946597488648,0.45,0.45,0.5
2022-11,0.043730437536818725,0.03061130627577311,0.03061130627577311,0.03279782815261405,0.7000000000000001,0.7000000000000001,0.75
2022-12,-0.0861212453563599,-0.07320305855290592,-0.07320305855290592,-0.06459093401726992,0.8500000000000001,0.8500000000000001,0.75
2023-01,0.06346983565366833,0.02856142604415075,0.02856142604415075,0.02856142604415075,0.45,0.45,0.45
2023-02,0.03705237224401056,0.025936660570807395,0.025936660570807395,0.025936660570807395,0.7000000000000001,0.7000000000000001,0.7000000000000001
2023-03,0.010785842275457515,0.009167965934138888,0.009167965934138888,0.009167965934138888,0.8500000000000001,0.8500000000000001,0.8500000000000001
2023-04,0.039093838761089066,0.03322976294692571,0.03322976294692571,0.03322976294692571,0.8500000000000001,0.8500000000000001,0.8500000000000001
2023-05,-0.022128859862645907,-0.018809530883249024,-0.018809530883249024,-0.018809530883249024,0.8500000000000001,0.8500000000000001,0.8500000000000001
2023-06,0.055048571298690493,0.04679128560388692,0.04679128560388692,0.04679128560388692,0.8500000000000001,0.8500000000000001,0.8500000000000001
2023-07,0.06886022409893079,0.05853119048409118,0.05853119048409118,0.05853119048409118,0.8500000000000001,0.8500000000000001,0.8500000000000001
2023-08,-0.03325277105504547,-0.028264855396788652,-0.028264855396788652,-0.028264855396788652,0.8500000000000001,0.8500000000000001,0.8500000000000001
2023-09,-0.0017439451216527198,-0.001482353353404812,-0.001482353353404812,-0.001482353353404812,0.8500000000000001,0.8500000000000001,0.8500000000000001
2023-10,-0.06530562769055621,-0.055509783536972786,-0.055509783536972786,-0.055509783536972786,0.8500000000000001,0.8500000000000001,0.8500000000000001
2023-11,0.07135034631068797,0.03210765583980959,0.035675173155343985,0.035675173155343985,0.45,0.5,0.5
2023-12,0.056203478609137415,0.03934243502639619,0.04215260895685306,0.04215260895685306,0.7000000000000001,0.75,0.75
2024-01,0.039094474354355445,0.033230303201202134,0.029320855765766582,0.029320855765766582,0.8500000000000001,0.75,0.75
2024-02,0.09252133595409742,0.07864313556098282,0.08789526915639256,0.08789526915639256,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-03,-0.022426245308646064,-0.019062308512349156,-0.021304933043213764,-0.021304933043213764,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-04,-0.005578728049797433,-0.004741918842327819,-0.0052997916473075625,-0.0052997916473075625,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-05,-0.002117451829254368,-0.001799834054866213,-0.00201157923779165,-0.00201157923779165,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-06,0.04229299763129276,0.03594904798659885,0.04017834774972812,0.04017834774972812,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-07,-0.05970252196291711,-0.05074714366847955,-0.05671739586477126,-0.05671739586477126,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-08,-0.0449031852005496,-0.03816770742046716,-0.04265802594052213,-0.04265802594052213,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-09,-0.009934568570528612,-0.00844438328494932,-0.009437840142002182,-0.009437840142002182,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-10,0.0016907131925471307,0.0014371062136650612,0.0016061775329197744,0.0016061775329197744,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-11,-0.0016022826671137922,-0.0013619402670467236,-0.0015221685337581026,-0.0015221685337581026,0.8500000000000001,0.9500000000000001,0.9500000000000001
2024-12,0.012870083325603653,0.006435041662801826,0.006435041662801826,0.007078545829082009,0.5,0.5,0.55
2025-01,0.0005974012370535198,0.0004181808659374639,0.0004480509277901399,0.0004480509277901399,0.7000000000000001,0.75,0.75
