as_of,ai_says_bear,ai_v2_p_bear_total,kospi_ret_6m,vix_zscore_3m,foreign_5d_norm,kospi_next_ret,real_bear,ml_proba
2021-12-01,1,0.55,-12.96360888268806,2.844926738613891,-0.6580510535270555,4.017740673102009,0,0.5216824983045111
2022-01-01,1,0.6000000000000001,-8.63886342804766,-0.5486138360375635,0.4228646882863567,-9.295633679469535,1,0.471603210577838
2022-02-01,1,0.75,-15.07555347311702,0.8218863891687672,0.9967435351975206,0.0136612021857923,0,0.4622246409759514
2022-03-01,1,0.6000000000000001,-12.938518254251395,1.4812051177221173,0.6399307785205685,1.7144424633109314,0,0.4717112555354359
2022-04-01,1,0.55,-5.995690201546456,-0.962974885461918,-1.2190200024188054,-3.492322326403044,1,0.5295390199047527
2022-05-01,1,0.6000000000000001,-8.91368475054508,1.639139552996581,-2.2241357243683715,0.1837455830388692,0,0.5734738716427061
2022-06-01,1,0.6000000000000001,-7.539786068353771,-0.1628636010656267,-1.5884783019599114,-11.924119241192413,1,0.5466989395261744
2022-07-01,1,0.75,-22.74490178906543,0.3390211351323093,-1.6968283296238298,5.971858638743456,0,0.5802396123897552
2022-08-01,1,0.55,-11.516393442622952,-1.9977966742895972,-0.950619537816748,-0.4324992276799506,0,0.530073161221726
2022-09-01,1,0.55,-11.589631051981897,0.2687127954643141,0.1517841115942521,-10.238095238095235,1,0.4878191577921771
2022-10-01,1,0.75,-23.155320016306568,2.164104065120103,-0.0706636449325262,3.470303867403315,0,0.5191388032629167
2022-11-01,1,0.55,-15.29328621908127,-0.1252445798616381,1.749630664834792,5.440499671268903,0,0.4339864527875629
2023-01-01,1,0.6000000000000001,-3.1577225130890008,-0.8575859760465498,1.205196511391786,9.296397008837523,0,0.4311076081585961
2023-03-01,1,0.55,1.28571428571429,-0.0077472233168193,1.6259591861637248,2.2041581991558545,0,0.4068236371505889
2023-04-01,1,0.5,12.879834254143653,-0.9970010277571468,0.9954789262560896,0.3074558032282859,0,0.4082201790175796
2023-09-01,1,0.55,4.971080193840871,-0.8603344847475674,-0.2056495778625129,-3.052196992037747,1,0.4690143402910543
2023-10-01,1,0.55,1.0760953112989968,1.5996894594751832,-1.2075031096417588,-4.202468364318075,1,0.5152038560867116
2023-11-01,1,0.6000000000000001,-7.034566403881137,0.651637643274814,-2.179616786708631,9.232748914267331,0,0.5681695272719681
2024-02-01,1,0.55,-3.9056952137480505,0.987997404823574,2.394983088386584,4.141238012205754,0,0.3882565567490066
2024-05-01,1,0.55,17.902525333762263,0.6323556041085601,1.5998122061121705,-1.3829932904285909,0,0.37661665256766197
2024-08-01,1,0.55,10.796280151118864,1.839297040157915,1.2145208643760137,-4.861748132616958,1,0.4040425307674555
2024-09-01,1,0.4499999999999999,-0.1375515818431871,-0.1355844890103212,0.5334307551289085,-4.247104247104247,1,0.4507409418628365
2024-10-01,1,0.55,-8.571428571428575,-0.1018041298318649,-2.615750571631928,-0.7859118032309707,0,0.5875010552914774
2024-11-01,1,0.55,-6.654799397507871,1.1037850673961471,-2.298731896805557,-3.560348648249372,1,0.5719318931070441
2024-12-01,1,0.55,-10.965630114566284,-1.805055453848238,-1.8750535083968256,-1.9571865443425076,0,0.5642540225716572
2025-01-01,1,0.55,-16.98601760745727,-0.0208929070089297,-1.602565336242009,4.548296342607064,0,0.5655934241976873
2025-04-01,1,0.6000000000000001,-1.4262843836413963,1.146798708435543,-1.295536281437098,-1.208151382823872,0,0.5235062373221554
2025-05-01,1,0.55,0.2659181563007928,0.1068195548912257,-2.1432518545174,6.403650817017518,0,0.552629362973593
2025-09-01,1,0.55,28.208933076124044,-0.83099028821126,0.9552964347603806,12.14832254267216,0,0.3808720177792055
2025-12-01,1,0.55,54.0484429065744,-0.5655704106333149,-0.5654421695834193,9.572649572649574,0,0.38813529064181074
2026-04-01,1,0.7,56.7051002389114,1.0681399471581452,-0.2910114265118859,21.58330290860411,0,0.37324196592166164
2026-05-01,1,0.6000000000000001,66.70281995661604,0.4876219861891128,1.986600131089904,17.147063013438434,0,0.2793343523731306
